Fund me ,Mean,standard deviation,sharpe,sortino,beta,Alpha,R square,Treynor ratio,Expense Ratio,Min Investment Amt. ,SIP ( YES/NO),Lumpsum(Yes/No),V,AUM ( CR )
Franklin India Technology Fund  ,11.14,11.88,0.4,0.73,0.66,1.67,0,0,2.8,5000,yes,yes,163.3311,224
Tata Digital India Fund - Regular Plan  ,0,0,0,0,0,0,0,0,2.51,5000,yes,yes,15.435,247
SBI Technology Opportunities Fund,11,14.6,0.31,0.65,0.81,0.86,0,0,3.26,5000,yes,yes,64.5564,112
ICICI Prudential Technology Fund  ,11.85,14.11,0.38,0.71,0.77,1.86,0,0,2.89,5000,yes,yes,60.13,422
Aditya Birla Sun Life Digital India Fund  ,14.17,16.29,0.47,0.82,0.87,3.74,0,0,2.93,1000,yes,yes,54.44,414
Taurus Ethical Fund - Regular Plan,8.17,12.64,0.14,0.21,0.82,-3.22,0,0,2.84,5000,yes,yes,54.94,30
UTI Transportation and Logistics Fund - Regular Plan,10.48,15.79,0.26,0.43,0.98,-1.89,0,0,2.46,5000,yes,yes,120.12,1691
ICICI Prudential FMCG Fund  ,13.44,13.21,0.53,0.76,0.8,2.17,0,0,2.9,5000,yes,yes,254.19,457
Tata Ethical Fund - Regular Plan  ,7.2,12.24,0.06,0.11,0.77,-3.91,0,0,1.79,5000,yes,yes,165.0534,536
SBI Magnum Equity ESG Fund ,10.5,13.64,0.3,0.49,0.92,-1.51,0,0,2.38,1000,yes,yes,105.5827,2111
ICICI Prudential Exports and Services Fund  ,7.66,11.67,0.1,0.14,0.63,-2.56,0,0,2.62,5000,YES,YES,5908,734
Reliance ETF Dividend Opportunities  ,12.8,14.09,0.45,0.7,0.92,0.8,0,0,0.15,1000,no,yes,31.1,8
L&T Business Cycles Fund - Regular Plan  ,8.88,17.52,0.14,0.21,1.15,-4.48,0,0,2.55,5000,yES,yes,15.953,929
Franklin India Opportunities Fund  ,8.77,14.54,0.16,0.24,0.98,-3.6,0,0,2.55,5000,yes,yes,76.7676,641
Taurus Ethical Fund - Regular Plan,10.53,15.07,0.27,0.47,0.97,-1.74,0,0,2.68,1000,yes,yes,14.48,718
Motilal Oswal Multicap 35 Fund - Regular Plan  ,13.77,13.95,0.53,0.83,0.88,2.05,0,0,2.04,5000,yes,yes,27.368,13861
Aditya Birla Sun Life Equity Fund    ,12.99,14.54,0.45,0.7,0.97,0.71,0,0,2.25,500,yes,yes,749.4,9749
